"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,8,8,6,"standard"
0,0,0,3,3,2,"standard"
0,0,0,216,642,642,"standard"
0,0,0,8,7,5,"standard"
0,0,0,2,18,47,"standard"
0,0,0,55,72,87,"standard"
0,0,0,252,37,251,"standard"
0,0,0,3,7,10,"standard"
0,0,0,3,12,15,"standard"
0,0,0,21,610,610,"standard"
0,0,0,3,53,6,"standard"
0,364,96,769,1000,1000,"standard"
0,0,0,4,18,18,"standard"
91,0,65,1000,45,1000,"standard"
0,0,0,2,16,2,"standard"
0,0,0,8,6,7,"standard"
0,0,0,32,36,14,"standard"
0,0,0,39,28,27,"standard"
0,0,0,22,127,48,"standard"
0,0,0,20,11,33,"standard"
0,0,0,25,37,40,"standard"
0,0,0,320,217,326,"standard"
0,0,0,2,3,2,"standard"
0,0,0,534,149,195,"standard"
0,0,0,5,3,4,"standard"
0,0,0,3,4,6,"standard"
0,0,0,282,14,273,"standard"
307,600,466,1000,1000,1000,"standard"
0,0,0,2,3,14,"standard"
0,0,0,10,8,4,"standard"
0,0,0,88,72,76,"standard"
0,0,0,30,42,40,"standard"
0,0,0,26,30,6,"standard"
0,0,0,27,33,30,"standard"
0,0,0,745,745,3,"standard"
0,0,0,51,50,39,"standard"
0,0,0,3,30,9,"standard"
0,0,0,53,2,8,"standard"
503,0,281,1000,16,1000,"standard"
0,0,0,4,19,3,"standard"
0,0,0,676,669,21,"standard"
248,0,600,1000,660,1000,"standard"
0,160,0,589,1000,35,"standard"
0,0,0,11,3,2,"standard"
0,0,0,81,715,718,"standard"
0,172,183,94,1000,1000,"standard"
0,0,0,75,49,84,"standard"
0,0,0,47,25,51,"standard"
0,0,0,603,598,22,"standard"
0,0,0,238,230,13,"standard"
