"st1","st2","t_fin1","t_fin2","condition"
242,79,1000,1000,"standard"
0,0,7,7,"standard"
0,0,5,2,"standard"
0,0,48,17,"standard"
0,0,5,4,"standard"
0,0,8,8,"standard"
0,0,37,36,"standard"
0,0,3,8,"standard"
0,0,29,28,"standard"
0,0,26,27,"standard"
0,0,92,89,"standard"
0,0,10,5,"standard"
0,0,2,197,"standard"
0,0,3,385,"standard"
0,0,11,12,"standard"
0,0,526,510,"standard"
0,0,93,5,"standard"
0,0,492,493,"standard"
0,0,43,20,"standard"
0,0,10,24,"standard"
0,0,12,4,"standard"
205,168,1000,1000,"standard"
0,0,109,109,"standard"
0,0,9,2,"standard"
0,0,17,2,"standard"
0,0,10,11,"standard"
0,0,27,33,"standard"
543,86,1000,1000,"standard"
412,351,1000,1000,"standard"
0,0,19,8,"standard"
0,0,18,18,"standard"
0,0,32,6,"standard"
0,0,3,17,"standard"
0,0,171,184,"standard"
0,0,110,129,"standard"
0,0,890,901,"standard"
0,0,36,63,"standard"
0,0,5,6,"standard"
0,0,11,14,"standard"
0,0,432,420,"standard"
0,0,6,2,"standard"
0,0,2,2,"standard"
0,0,272,274,"standard"
123,600,1000,1000,"standard"
0,0,12,10,"standard"
0,0,5,2,"standard"
0,0,67,37,"standard"
0,0,21,7,"standard"
0,0,159,157,"standard"
0,0,2,48,"standard"
0,0,2,66,"standard"
0,0,9,11,"standard"
0,0,5,8,"standard"
0,0,73,47,"standard"
0,0,487,487,"standard"
0,0,252,6,"standard"
0,0,9,3,"standard"
584,125,1000,1000,"standard"
0,0,2,5,"standard"
0,0,5,3,"standard"
0,0,10,19,"standard"
0,0,6,3,"standard"
0,0,2,3,"standard"
0,0,2,5,"standard"
0,0,200,193,"standard"
0,0,5,4,"standard"
0,0,28,28,"standard"
0,0,36,45,"standard"
0,0,580,803,"standard"
0,0,28,40,"standard"
0,0,32,2,"standard"
0,0,8,8,"standard"
0,0,7,2,"standard"
0,0,5,132,"standard"
0,0,77,83,"standard"
0,0,11,4,"standard"
0,0,222,221,"standard"
0,0,72,68,"standard"
0,0,3,3,"standard"
0,0,7,13,"standard"
0,0,64,2,"standard"
0,0,19,22,"standard"
0,0,46,42,"standard"
0,0,53,55,"standard"
0,0,13,77,"standard"
0,0,2,17,"standard"
0,0,2,3,"standard"
0,0,40,41,"standard"
0,0,9,3,"standard"
0,0,209,11,"standard"
